iter	MAE
0	0.1542625082
1	0.1503299923
2	0.1462939367
3	0.1424721464
4	0.1386921227
5	0.1350745245
6	0.1314291336
7	0.1279406264
8	0.1248387931
9	0.121927655
10	0.1189876068
11	0.1160402531
12	0.1132050073
13	0.1105835922
14	0.1080581468
15	0.105589972
16	0.1032062587
17	0.1008697967
18	0.09865645907
19	0.096546418
20	0.09449088252
21	0.09254714161
22	0.09065054339
23	0.08878734132
24	0.08713394085
25	0.08538323768
26	0.08370147502
27	0.08220109396
28	0.08067307767
29	0.07920376068
30	0.07785188533
31	0.07649733428
32	0.07524028377
33	0.07398341487
34	0.07279963435
35	0.07167508626
36	0.07063856955
37	0.06959104427
38	0.06855395037
39	0.0675224513
40	0.06667474928
41	0.06582295895
42	0.06496458278
43	0.06410669424
44	0.06329775019
45	0.06253592827
46	0.06178990336
47	0.06111803512
48	0.0604526971
49	0.05980238297
50	0.05912657137
51	0.05848716953
52	0.05783791177
53	0.05732019698
54	0.05678179286
55	0.05627292911
56	0.05576431904
57	0.05530993397
58	0.05483644668
59	0.05438283321
60	0.05392208453
61	0.05350529108
62	0.05313139158
63	0.05272286859
64	0.05241877228
65	0.05205499616
66	0.05169731119
67	0.05138407607
68	0.05103632852
69	0.05070109945
70	0.0503988306
71	0.05010829826
72	0.04984450285
73	0.04959705446
74	0.0493209581
75	0.04905782108
76	0.04875918829
77	0.0485484894
78	0.04832874056
79	0.04813288179
80	0.04786074402
81	0.04756962975
82	0.04734476713
83	0.04720340266
84	0.04700782607
85	0.0468475644
86	0.0467011378
87	0.04653930864
88	0.04638534858
89	0.0462301957
90	0.04610470338
91	0.04596193072
92	0.0458232722
93	0.0456891528
94	0.04554072955
95	0.04538030115
96	0.04521920856
97	0.04505906874
98	0.04491229927
99	0.04479489935
100	0.04464987447
101	0.0445394162
102	0.04444133101
103	0.04434017338
104	0.04421468268
105	0.04413759029
106	0.04407350118
107	0.04399181891
108	0.04392264232
109	0.0437667697
110	0.04368559151
111	0.04358584445
112	0.04351683784
113	0.0434394107
114	0.04336870618
115	0.04322137584
116	0.0431564212
117	0.04310607424
118	0.04304899187
119	0.04296443159
120	0.04284635662
121	0.04277432084
122	0.04268878946
123	0.04264053272
124	0.0425989742
125	0.0425615534
126	0.04251607524
127	0.04247694882
128	0.04243794428
129	0.04234987566
130	0.04228371946
131	0.04225598279
132	0.04219767112
133	0.04215873173
134	0.042128961
135	0.04206537507
136	0.04203207423
137	0.04200112554
138	0.0419650454
139	0.04192521938
140	0.04188622505
141	0.04185307923
142	0.04179676146
143	0.04172417692
144	0.04170342738
145	0.04163184896
146	0.04161265129
147	0.04158826825
148	0.04153911145
149	0.04148550412
150	0.04147252583
151	0.04144131763
152	0.04140085698
153	0.04138725489
154	0.04133261795
155	0.04129570549
156	0.04124781168
157	0.0411861893
158	0.04114665331
159	0.0411120885
160	0.04109887286
161	0.04107073368
162	0.0410427138
163	0.040954499
164	0.04091150921
165	0.04090444464
166	0.0408376414
167	0.0408293233
168	0.04079619019
169	0.04077421234
170	0.04075094522
171	0.04069554746
172	0.0406829204
173	0.0406602315
174	0.04061057736
175	0.04059818825
176	0.04058673616
177	0.04055790948
178	0.04054264063
179	0.04047409108
180	0.04045012657
181	0.04043920509
182	0.04041459992
183	0.04039486099
184	0.04038470835
